questionSequence,prerequisites,questionTitle,questionText,answerType,answerText1,answerValue1,answerText2,answerValue2,answerText3,answerValue3,answerText4,answerValue4,answerText5,answerValue5,answerText6,answerValue6,answerText7,answerValue7,answerText8,answerValue8,answerText9,answerValue9,answerText10,answerValue10,answerText11,answerValue11,answerText12,answerValue12,answerText13,answerValue13
1,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,What type of organization is your business?,Choose the following option to match your business type.,single,Individual or Sole Proprietor (excluding trusts),a,Trust,b,Partnership,c,Corporation,d,Non-profit,e,Registered charity,f,"Public body (including local governments, Crown corporations, hospitals, public universities, colleges, and schools)",g,,,,,,,,,,,,
11,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,10c,What kind of partnership?,Choose the type of partnership.,single,Two or more individuals excluding trusts,a,"A mixture of individuals, Canadian-controlled private corporations (including cooperative corporations) and registered charities",b,A mixture that includes non-Canadian controlled private corporations,c,A mixture that includes non-profit organizations,d,,,,,,,,,,,,,,,,,,
21,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,10d,What kind of corporation?,Choose the type of corporation.,single,Canadian-controlled private corporation eligible for the small business deduction,a,Cooperative Corporation,b,Other taxable Corporations,c,,,,,,,,,,,,,,,,,,,,
31,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,"Does your business pay salary, wages, bonuses or other remuneration to employees in Canada?",There are specific programs announced to support the qualified employers.,single,Yes,a,No,b,,,,,,,,,,,,,,,,,,,,,,
41,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,40a,How much was your total payroll from 2019?,The organization's payroll expense in the 2019 calendar year.,single,"Less than $50,000",a,"Between $50,000 and $1,000,000",b,"More than $1,000,000",,,,,,,,,,,,,,,,,,,,,
51,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,Has your business experienced a decline in revenue of 15% or more in March 2020 vs. March 2019 or vs. the average of January and February 2020?,A federal wage program will offer a 75% wage subsidy to all qualified businesses that have lost 15% or more of their revenue in March due to the outbreak.,single,Yes,a,No,b,,,,,,,,,,,,,,,,,,,,,,
61,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,Is your business in one of the following industry sectors?,Government support program is available for certain industry.,single,Air transportation,a,Broadcaster,b,"Producers, agribusinesses and food processors",c,Other,d,,,,,,,,,,,,,,,,,,
71,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,Does your business offer a work-sharing program?,There is a specific measure announced to support businesses to avoid layoffs.,single,Yes,a,No,b,,,,,,,,,,,,,,,,,,,,,,
